Share,PTS,W/L%,seed,player_efficiency_rating,free_throw_attempt_rate,usage_percentage,win_shares_per_48_minutes,offensive_box_plus_minus,value_over_replacement_player
0.111,25.8,0.561,7.0,27.0,0.661,24.4,0.25,7.3,7.4
0.033,17.1,0.622,3.0,22.9,0.49,19.1,0.236,5.1,8.3
0.026,20.4,0.671,2.0,20.5,0.511,21.2,0.184,3.9,5.0
0.024,25.7,0.671,2.0,19.3,0.364,28.2,0.146,1.6,2.6
0.021,18.9,0.695,2.0,20.6,0.29,21.0,0.199,4.5,4.5
0.005,18.9,0.695,2.0,18.5,0.518,22.2,0.164,1.6,2.9
0.005,18.6,0.512,8.0,21.6,0.391,20.9,0.177,3.5,3.8
0.004,6.2,0.622,3.0,10.6,0.491,9.2,0.108,-2.5,1.9
0.004,20.2,0.634,3.5,21.2,0.649,23.4,0.178,3.0,2.7
0.004,26.5,0.524,7.0,21.9,0.339,26.6,0.165,3.7,4.7
0.004,17.2,0.695,2.0,19.9,0.363,19.9,0.197,1.9,3.8
0.001,22.9,0.598,5.0,19.7,0.294,28.9,0.131,2.0,2.3
0.001,17.2,0.768,1.0,16.8,0.339,21.6,0.14,2.2,2.4
0.001,18.2,0.768,1.0,17.1,0.286,24.6,0.115,2.0,3.4
0.691,22.3,0.768,1.0,26.6,0.56,24.8,0.27,8.3,8.9
0.667,25.2,0.646,3.0,27.1,0.632,24.0,0.269,7.2,8.0
0.613,33.6,0.671,2.0,31.2,0.356,33.7,0.285,9.1,10.6
0.233,31.0,0.671,4.0,27.2,0.561,32.6,0.245,5.9,6.6
0.176,28.6,0.549,5.0,25.8,0.387,29.4,0.205,3.7,6.0
0.111,24.3,0.683,3.0,26.3,0.644,26.6,0.241,4.0,6.8
0.07,24.3,0.5,8.5,24.1,0.333,28.1,0.173,1.8,6.2
0.013,27.2,0.659,5.0,20.9,0.4,28.8,0.176,2.7,3.3
0.01,17.2,0.671,4.0,23.9,0.471,20.6,0.238,6.7,8.0
0.005,24.3,0.634,4.0,21.9,0.226,27.4,0.154,4.1,5.5
0.005,13.6,0.72,2.0,14.3,0.541,15.5,0.149,0.1,1.9
0.003,23.3,0.72,2.0,22.2,0.317,25.5,0.208,5.2,6.3
0.001,17.8,0.72,1.0,17.2,0.312,22.5,0.162,1.9,2.7
0.001,18.4,0.72,1.0,17.3,0.285,26.0,0.107,2.3,3.7
0.928,31.5,0.744,1.0,31.6,0.365,32.9,0.321,8.9,10.8
0.518,19.4,0.707,2.0,25.1,0.587,22.9,0.251,7.0,8.1
0.496,25.6,0.671,3.5,27.4,0.569,26.6,0.264,5.2,8.2
0.231,27.6,0.537,5.0,28.9,0.564,29.1,0.258,8.3,7.0
